 	liver	liver	liver	lung	lung	lung	spleen	spleen	spleen
LOC400680	8.4432	8.6872	9.1021	8.5629	8.0536	9.0297	6.0582	6.5493	5.8109
C14orf181	8.4907	8.9228	9.3292	8.6853	8.203	9.1342	6.6355	7.6568	6.1881
IGHM	9.6439	10.1369	10.4881	9.9348	9.44	10.2071	7.0613	8.5242	6.5114
C1orf116	8.5916	9.2558	9.6152	8.9616	8.4265	9.1828	6.4496	7.5802	5.8399
C20orf3	9.7253	10.2875	10.5325	9.9399	9.511	10.2812	7.0734	8.4883	7.0626
RPTOR	9.0294	9.5007	9.9388	9.3212	8.756	9.6079	6.2091	8.1821	6.5961
FAM187B	9.4772	9.9503	10.398	9.8725	9.1589	9.8863	6.7318	8.643	6.8145
MS4A7	8.7057	8.6797	9.5582	9.1158	8.0544	9.1831	5.9815	7.2766	5.6717
WAPAL	9.8963	9.9959	10.4228	9.6053	9.4095	9.8408	7.3513	8.4586	7.3474
KCTD7	10.1129	10.5461	10.7722	10.1395	10.0135	10.2792	7.2895	9.3878	7.5309
PIGQ	10.2652	10.4529	10.7304	10.0158	9.8108	10.1746	6.9026	8.8476	7.0796
RBMS3	10.614	10.4439	10.8155	10.4919	10.3082	10.5427	8.0529	6.9219	7.0687
KDELC2	10.55	10.4256	11.3295	9.647	9.4378	9.477	12.2348	12.2424	11.9537
ODZ4	9.4631	9.8013	9.9629	10.3355	9.8835	10.3291	6.3963	9.5031	8.5911
C1orf92	9.1523	9.523	9.4397	10.4665	10.0645	10.668	8.1333	7.7317	7.1299
TSPAN16	11.7479	11.6221	11.927	11.2369	10.8989	11.7751	8.2109	10.9465	9.6083
CLDN7	8.7769	9.1091	9.5717	9.6215	9.371	9.9315	6.1693	6.8045	6.0276
EIF2S2	7.9327	8.4618	8.4301	9.318	9.3184	10.0097	7.1877	5.9776	6.3351
SCO1	8.8807	8.8617	8.729	7.275	6.8431	7.6478	5.5468	6.4765	6.0012
LOC100287105	8.9853	9.1246	8.7367	7.5075	7.0774	7.6759	6.0269	6.5649	6.153
RIMS1	7.3876	7.2228	7.4297	6.7561	7.4085	6.5939	11.2785	10.5752	11.1686
HSPA5	9.0478	8.6858	10.1341	8.6553	8.4145	7.3712	11.8941	12.7246	12.3675
ENTPD5	3.7308	5.189	5.1291	6.1526	4.4191	7.5586	7.3705	4.4743	5.2296
AOC2	6.7023	6.6528	6.4595	6.9824	6.9387	6.3888	9.183	8.495	9.1202
PARP2	10.5069	9.404	8.7728	7.8372	7.7354	7.8698	7.7107	7.2561	7.3223
KCNK1	12.0276	11.7054	12.5724	9.8132	9.6771	10.3082	12.1863	13.1495	13.0924
KRT4	7.1985	7.6837	8.6059	7.1989	7.0785	6.9772	10.6607	9.8631	9.054
MUTED	6.4736	5.6534	6.8988	8.1654	8.0746	9.5141	5.3401	5.355	4.9983
ATP6V1A	7.087	9.0666	7.9179	9.3227	8.2488	8.6709	5.9358	5.3009	5.4446
FLJ32255	7.6435	8.0804	8.0804	9.0011	8.7981	9.7073	6.1034	6.8127	6.2905
RNF145	8.8007	8.8007	9.8091	9.1588	8.8922	9.9051	5.8124	6.0514	5.6878
PIM3	6.4134	6.5431	7.112	8.3267	8.2113	9.734	5.9964	6.0381	6.4661
C5orf41	8.0401	8.3451	8.7912	8.4566	8.1677	8.7163	6.2251	6.485	6.2428
C7orf25	8.3358	8.6403	8.5946	8.7317	8.3998	9.5963	5.4499	6.7013	7.0623
C14orf53	10.6577	10.4842	10.4858	10.6604	10.3022	11.0146	6.6481	8.0412	7.8254
ACCN3	10.7435	10.2969	10.398	8.7434	7.9434	9.1841	5.45	7.5753	8.1728
IVNS1ABP	9.3001	9.2025	9.7139	7.2035	6.4604	7.9574	5.8541	6.6099	5.4077
OFD1	4.9297	4.9707	6.207	6.0019	5.1654	6.1155	8.1805	9.4715	9.5207
PRDM15	6.0155	7.2149	7.057	8.0328	7.2499	8.0967	7.8063	10.1897	9.8647
LOC400891	9.7877	9.7983	9.7125	9.6548	9.3816	9.7491	6.2975	9.1328	8.8137
C1orf59	6.3828	6.4381	6.3074	5.9878	5.8354	7.7333	4.2967	5.5403	4.3765
NFE2	7.7905	7.446	7.7998	7.6506	7.7201	7.3029	4.3882	5.0019	4.8799
C6orf112	9.2051	9.0794	9.1751	7.7727	7.0665	8.4721	5.7384	5.8099	7.0808
C9	11.6124	11.4553	11.6039	10.8317	10.9215	10.9134	7.8763	10.5312	10.36
C17orf74	8.7105	8.3264	8.1614	5.7339	5.7385	5.7741	5.5499	5.171	5.167
CALM1	9.863	9.6353	10.0492	8.5245	8.2471	8.5914	7.7962	7.2113	7.1188
CDH20	9.6706	10.3487	10.023	11.5239	11.0863	10.9048	8.0137	6.9501	7.0648
COL11A2	7.1709	8.1691	7.5307	7.4571	7.0396	7.2784	4.6593	5.1229	4.6859
FLJ36848	7.3662	7.0828	8.439	6.0409	6.3646	6.8167	8.4426	10.0643	9.1418
FLJ34077	9.0004	9.2208	9.9066	8.5106	8.1625	8.7187	11.6278	11.5393	11.6769
CXCL9	4.8939	6.0229	5.5236	5.076	4.4311	5.006	8.5606	6.4891	8.0399
DPEP2	7.5126	7.5648	7.5648	8.3762	8.1307	8.5927	5.7097	5.5873	5.1889
TGM7	6.159	6.7914	6.7697	8.2999	7.9611	7.9447	5.7763	5.0087	5.171
PLEKHF2	9.1914	8.9988	9.36	8.7235	8.3958	8.6661	5.9416	6.1047	5.9224
LRP11	8.7098	8.6787	9.3654	8.4388	7.9928	9.265	6.6949	6.4933	7.1153
CILP	7.7933	7.6157	8.5617	7.7865	7.4897	8.0629	8.877	10.5683	9.8748
CST9	11.3582	11.5996	12.141	10.9403	10.5247	10.6577	13.2406	13.5295	13.3424
BRP44	5.9083	6.3592	8.5569	4.3998	4.7628	4.2314	4.9285	4.7079	4.7302
TMSB4X	6.6533	7.3101	9.5567	3.2023	3.7157	3.5377	4.6468	3.9559	3.4886
PML	8.151	8.1496	10.4538	5.8127	6.4164	5.8118	6.5777	6.0775	6.4393
LRRC39	9.3011	9.5341	9.546	10.6569	10.0758	10.3736	6.7182	6.5249	6.5716
FLJ13197	6.0071	6.7606	6.8627	8.5452	8.1262	9.3712	5.5795	5.4213	5.6865
CDC26	4.3537	4.3137	4.4406	5.725	5.5899	7.2214	3.8095	4.0039	3.8178
NCR1	4.7129	5.2497	6.2832	6.5518	6.4704	7.6836	4.5325	4.282	4.2445
ZMYND19	6.6538	6.9378	7.9263	8.6115	7.8589	9.4209	6.5985	6.3735	6.6551
CDK9	6.518	7.0805	8.2368	9.0765	8.6696	9.9274	6.7198	6.4878	6.4233
DYNC1I1	7.5986	8.2838	8.3611	8.6283	7.9419	8.8487	3.7296	6.2173	6.0226
HSPC157	8.9826	9.0979	9.0749	9.3811	8.988	9.8057	5.9507	7.4815	7.3972
BMP3	8.9172	9.3419	9.518	9.3315	9.0404	10.0151	6.336	8.5883	7.5206
PDP1	8.5602	7.9108	7.7594	6.6346	5.9079	6.8409	5.6135	5.566	5.826
IFNA17	5.8953	7.2316	6.4282	6.5532	6.2544	7.2246	9.2788	8.5196	9.4835
ZDHHC21	5.6564	5.8128	6.8334	7.7122	7.5164	9.2328	5.5969	5.332	5.2824
IFNA1	7.1535	7.3226	8.5233	9.3283	9.211	10.2837	6.843	6.5948	6.9713
NCALD	7.4027	8.2235	8.0802	9.27	9.2029	9.2145	5.8402	6.4974	6.2365
CCDC56	5.8743	5.671	5.3654	5.5646	5.8131	5.1367	9.0535	10.0878	10.2048
HIST1H1B	9.0612	9.4815	9.6873	9.2294	8.9263	9.3476	6.3111	8.521	7.3259
CCT8L2	8.8125	8.0547	8.0738	5.6602	5.4771	5.5833	6.8121	7.1081	7.0366
RBMX	9.3656	9.6576	9.8455	9.9519	9.6653	10.0736	6.9639	8.1351	8.1025
SUMO4	6.2494	5.6723	6.2399	5.3458	6.3297	5.2816	8.7869	7.6314	8.1027
GNGT1	10.9502	10.9943	11.0775	10.7505	10.4517	10.4246	8.1562	8.2691	8.3235
PEAR1	9.2275	10.0018	9.6963	10.4968	10.2427	10.0523	7.1626	7.7234	6.9148
FAM3B	5.3419	6.4307	6.9496	7.9678	7.1408	9.1371	6.0659	8.3049	6.7697
LOC400620	8.1562	8.5582	8.1274	10.1486	10.1848	9.3658	10.0746	11.7088	10.6612
SLC43A2	7.4006	7.6597	7.2423	9.6196	9.1034	9.0109	9.0025	10.4266	9.6067
MPP7	7.569	7.869	8.5365	6.3461	6.8683	6.5602	9.5683	9.7506	9.662
GALNTL6	7.3697	7.6582	7.489	6.401	6.2983	7.0931	3.8845	4.3314	4.6789
FAM9B	9.0815	9.1363	10.4217	7.5547	7.1198	8.4686	6.0296	7.6388	6.7912
KRT81	8.0794	7.9454	9.6381	5.8647	5.8535	5.4745	8.5987	7.9006	8.397
ITPR1	9.9566	10.1533	9.9427	10.6108	9.974	10.4013	5.4917	4.2939	4.5817
GPR78	9.5099	9.754	9.6497	9.1997	8.8854	9.5411	6.0022	5.758	5.3689
LRRC49	8.6394	8.9473	7.8734	8.5635	7.7477	9.3194	4.9216	4.4059	5.1293
PVRIG	4.9348	5.7646	6.2053	7.4257	6.5907	8.5005	5.264	4.3911	4.8981
JMJD7	8.7074	9.0104	10.1401	9.5289	8.8387	9.8428	5.5245	6.5384	6.313
KCNJ5	9.2072	9.4053	9.4989	9.7956	9.7263	10.2648	6.1839	6.9955	6.374
C5orf30	9.3648	9.8667	9.4506	9.7753	9.5792	9.9244	5.871	8.2097	8.5985
AKR1B1	6.225	6.5511	6.9308	6.773	5.8015	7.9994	5.0563	4.5117	4.9853
FAM170A	7.0587	7.5843	7.4201	7.9677	7.5887	7.8797	9.1323	11.1805	10.7345
FLJ37035	9.4172	9.2509	10.4392	7.6916	7.1171	8.2348	11.1892	11.3872	11.6286
OAS2	5.4905	5.6032	7.1098	6.7977	5.3557	8.3483	3.9137	2.9166	3.7451
UTP14A	5.4905	5.6032	7.1098	6.7977	5.3557	8.3483	3.9137	2.9166	3.7451
TTC12	9.403	9.5493	9.5455	9.6225	9.5069	9.7603	5.6961	8.0045	7.2533
LASS2	8.8349	9.3941	9.3336	9.7554	9.342	9.6102	5.993	6.2346	5.8386
DIS3L2	8.5331	10.1069	9.4936	11.2788	11.0614	10.8664	6.5812	6.0748	5.7122
RFWD3	10.3762	10.7589	10.4621	11.4126	11.2084	11.2514	13.1484	13.79	13.7704
RCBTB2	6.7734	6.8688	7.1179	7.0331	7.0203	7.3724	7.7295	9.8533	9.6831
PTPRE	8.6972	8.8443	8.7359	9.4299	9.3725	9.4428	5.8441	6.3009	6.5495
PYDC1	6.1928	6.9177	6.3514	6.3124	6.3424	5.7708	8.0006	9.6798	9.2865
C1orf161	3.9584	4.2376	4.3982	4.0775	4.3513	4.1387	5.9144	8.4041	7.5032
PDE1B	4.6036	4.5209	4.8255	4.5682	4.7231	4.4687	6.2791	8.2506	7.7126
LHFPL5	4.889	4.6206	4.8802	4.8184	4.7702	4.9379	6.5577	7.943	7.8942
CSTB	4.9818	5.1796	5.2907	4.9227	5.1735	5.2287	8.4638	10.8131	9.8409
C17orf73	4.54	4.2716	4.632	4.4174	4.4144	4.702	6.7606	8.7044	8.0301
SLC22A2	4.712	4.4611	4.7711	4.4752	4.4802	4.8202	7.1528	9.0184	8.5422
CENPO	3.9518	3.6861	4.0865	3.7672	3.8616	4.0276	5.358	6.5791	6.0735
CD3G	8.9239	9.2659	9.174	9.5942	9.1011	9.8697	5.9006	7.9488	7.6868
OTUD1	7.9981	8.351	9.1047	8.8585	8.6533	8.9339	6.1819	6.9703	6.5208
THOC1	8.2072	8.7673	8.9889	9.3897	9.2147	9.7809	6.5766	6.7053	6.8533
LOC284551	10.9528	11.1349	11.1941	10.4316	10.4067	10.7901	7.1421	9.8271	9.2979
PLEKHA2	7.4366	8.104	9.3207	5.5329	5.7852	5.072	6.1169	6.1169	6.1169
CCDC39	7.5953	9.0174	8.563	11.0494	10.1422	11.1969	6.2162	4.6599	4.9998
URGCP	10.218	10.4285	10.1734	10.3354	10.0266	10.1802	8.2341	6.9095	7.3932
LOC645158	7.1811	7.844	6.5162	6.9138	6.5069	6.5069	5.1843	5.153	4.471
PCP2	6.6219	6.8661	7.5325	7.0352	6.5114	7.2951	9.9303	10.9885	11.4166
ANXA13	10.6699	10.963	10.4267	10.9138	11.0389	11.0581	8.0045	8.1691	9.0472
SFRS12	6.4711	7.4321	7.4321	9.737	9.3178	8.9348	6.6667	6.2064	6.3226
RAB9B	9.9688	8.5657	10.8809	7.1282	7.1535	7.6704	6.7733	6.4117	6.5752
C3orf18	4.1833	4.0894	4.4009	4.1295	4.0617	4.4942	6.9413	9.2527	8.868
LOC339593	4.6215	4.2461	4.7511	4.518	4.5198	4.5759	7.0405	9.5979	9.2325
FPGT	4.3413	4.0147	4.3311	4.2304	4.128	4.4936	6.5199	8.3352	8.084
LOC728437	4.0812	3.8103	4.1958	3.8918	3.9755	4.1539	6.1702	7.1117	6.4607
HYDIN	4.5877	4.0982	4.5097	4.4414	4.3238	4.705	7.2113	9.3549	9.1327
INSL5	4.832	4.569	4.9899	4.733	4.5535	5.0928	7.3999	9.2372	8.7899
CHMP2A	4.3291	4.6077	4.8459	4.5543	4.3417	4.6459	6.2116	9.0513	7.9308
DTX4	4.3643	4.2524	4.5864	4.384	4.3116	4.7242	6.8983	8.7587	8.4127
AGPAT3	4.4395	4.2669	4.5858	4.4217	4.4397	4.6288	7.1212	9.283	9.0487
TRAK2	4.6215	4.2461	4.7511	4.518	4.5198	4.5759	7.0405	9.5979	9.2325
OAS2	3.7458	3.5004	3.8823	3.581	3.5513	3.8377	6.001	6.8911	6.9915
TSGA10IP	4.9148	4.6211	4.9481	4.7597	4.761	5.0882	6.9116	8.864	8.3232
CD3EAP	5.0509	4.6802	5.0243	4.9297	4.8161	5.0939	7.3712	9.1643	8.7509
TPH2	4.8568	4.7787	4.8956	4.6893	5.0081	4.8799	6.6748	8.3909	8.0312
SCAMP4	4.8051	4.6106	4.9242	4.7158	4.7569	4.9733	7.1503	9.0622	8.7242
MCOLN1	3.0858	2.9431	3.1833	2.9642	3.0715	3.2728	4.3023	5.3495	5.6316
KIAA1659	4.499	4.099	4.3815	4.2753	4.3603	4.4718	6.6715	8.4682	8.1815
DYDC2	4.2965	4.2632	4.6961	4.4305	4.3144	4.7541	7.0199	9.0988	8.7813
RANBP10	4.4919	4.4622	4.8822	4.5127	4.3362	4.8624	6.7361	8.5423	7.7551
DCLRE1B	4.4919	4.4622	4.8822	4.5127	4.3362	4.8624	6.7361	8.5423	7.7551
B4GALNT3	4.9223	4.6384	4.8485	4.7693	5.0235	5.057	6.5005	8.0131	8.1614
RHOBTB1	4.9064	4.674	4.9838	4.69	4.7862	5.0051	7.2658	9.0626	8.7415
PANX1	4.8561	4.6475	4.8647	4.5802	4.8243	4.8584	6.2325	7.6379	7.3706
PPAPDC2	4.4556	4.3332	4.4845	4.5294	4.2793	4.5159	6.4191	7.5631	7.4089
NPDC1	10.7702	10.5983	11.8273	5.8236	5.8505	6.0942	5.905	5.1242	5.223
IRX1	4.7575	4.6988	4.9156	4.8032	4.5929	4.9048	6.1607	7.6751	7.5905
HOXC5	8.7546	8.8108	10.1094	7.6059	6.659	7.0566	10.7864	10.5145	9.0562
SI	8.57	9.9091	9.241	10.7678	10.4475	10.4038	8.3482	8.1363	6.9426
FLJ36840	8.7557	9.8789	9.4234	10.9833	10.6926	10.8911	9.3777	8.9446	7.7544
SHB	4.8292	4.2484	5.277	5.2246	5.0271	4.8459	6.6092	8.044	7.3134
RWDD2B	7.3276	8.2416	7.8462	10.0336	9.2849	10.2385	6.5694	5.4329	5.5586
SPATA20	7.541	8.5385	8.1378	10.2739	9.5554	10.5503	6.3988	5.1561	5.468
LOC151146	10.0371	10.0572	9.4959	9.5422	9.1764	10.0144	6.4348	7.467	6.56
NKD2	8.9882	9.267	9.9618	7.6817	6.9661	7.4386	10.9914	11.8891	10.5967
ULK1	6.2236	5.7751	5.5403	5.5627	5.9931	5.5394	8.1657	9.7882	8.4717
KIR2DS3	6.3475	6.6099	6.7743	7.861	7.8298	9.0161	6.001	5.9566	6.0201
ATP6V1H	8.5593	8.5737	8.418	8.211	7.9987	8.9899	6.241	6.2667	5.991
STK33	5.7434	5.5618	4.9427	11.7807	11.2621	11.2247	5.9491	5.9186	5.4817
NEUROG3	9.2234	9.4857	9.3742	9.4321	9.043	10.0377	6.2661	9.0892	8.4887
GPHN	5.3688	5.8499	6.0429	6.3481	4.4419	7.8399	3.7626	5.6242	5.5742
ZNF407	5.4643	4.7755	5.3308	4.3182	5.4307	5.3078	6.9845	7.8841	7.0232
CYTL1	9.1769	10.1409	10.7659	10.4542	10.1215	10.106	6.8042	8.6023	7.9002
NUPL2	8.5067	8.9922	8.6415	9.1312	8.6415	9.4589	6.4131	8.2376	6.5992
MT1G	6.7887	7.2026	6.4703	8.2133	7.0613	8.6772	5.8296	5.1513	5.4511
HMOX2	9.7493	10.3318	10.1512	10.6487	10.3837	10.3018	8.4401	7.6423	7.7946
CALML3	7.5981	7.547	7.2972	7.1259	7.5951	6.7095	9.9973	8.8325	9.175
AKTIP	6.8687	7.505	7.3051	9.1254	8.8892	9.1133	5.5972	5.883	5.855
ITGAX	7.9417	8.7037	8.5149	9.4617	9.0283	10.1519	5.6957	5.3383	5.6234
CIB4	6.6481	6.5357	6.6481	7.4631	6.6934	8.721	5.3075	5.439	5.4737
PRKCH	11.6443	11.887	12.4952	12.5887	12.2126	12.4781	9.9624	11.0985	9.6267
H1FOO	9.3579	9.4248	9.1139	11.0763	9.6495	11.1517	9.3864	7.6121	8.924
SMTNL1	9.6987	9.9498	10.0787	9.9589	9.6011	9.7129	6.5405	7.4755	7.0037
PSMB1	6.1968	5.8642	6.082	6.0675	6.3044	5.4438	7.8209	8.1082	8.5693
MAP4K1	5.4186	5.1634	5.094	4.4983	5.3174	4.8306	6.379	7.8074	7.2874
CETN2	3.2683	3.1026	3.2683	2.9368	3.2004	2.7221	3.661	6.271	5.5865
UTS2	5.059	4.8365	4.7776	4.3465	4.8337	4.4177	6.8731	8.5645	7.7402
EIF1AY	4.0915	3.515	3.593	3.5012	3.7856	3.3704	5.9523	8.5176	7.8371
TRBC1	4.331	3.436	3.9296	3.7625	4.197	3.4776	6.5076	8.383	8.0936
CYS1	4.4517	4.2355	4.0685	4.0995	4.0165	3.9324	6.9643	8.91	8.4079
HBP1	8.5062	9.1264	8.8721	8.9819	8.5014	9.3285	3.9538	4.5206	4.7201
C12orf48	9.7513	9.7822	9.714	9.7029	9.2298	10.1845	5.3147	5.4256	5.2081
NOP10	8.9041	9.1072	9.0216	9.2718	8.9041	9.4976	6.963	6.5972	6.9302
CHMP1A	7.0007	6.737	7.0007	8.2372	7.9213	9.6405	7.0491	6.3096	6.2614
ARHGAP4	10.5839	9.7136	8.2142	6.8615	6.1252	7.7645	5.2541	4.5569	5.4596
PRDM6	11.5856	11.4817	10.9934	8.8176	8.5821	10.0128	8.8494	7.7374	8.2942
GLT25D1	10.7689	9.9976	10.0067	9.7338	9.156	10.297	8.4544	6.8819	6.7889
OR2W3	10.181	9.2839	9.4537	9.1867	8.8152	9.6618	8.0508	6.6803	6.6369
HIST2H4A	7.2681	7.8989	7.9679	9.2769	8.887	8.8709	6.7069	6.4593	6.5835
NDUFB10	4.9457	5.1324	5.64	5.3895	4.9493	6.795	7.921	4.4559	5.0648
AHCYL1	7.9012	9.4337	8.6356	9.8411	9.5052	8.7677	6.1797	6.3079	6.3349
TMEM57	8.1965	8.8561	8.1397	9.4869	9.2765	9.1206	6.6347	6.1629	6.1344
SEC14L2	8.2515	7.0225	7.3902	7.0543	6.7752	6.9516	10.9935	11.3232	11.0356
RAB15	9.2728	9.8036	9.2402	10.0354	9.8036	9.6275	6.5407	6.5943	6.3669
SH3BGRL3	5.0761	5.5684	5.9916	6.9822	6.9129	8.862	5.08	4.6603	4.6868
HIST1H4B	7.2532	8.324	8.1788	9.7662	8.9214	10.763	11.1882	9.7125	10.2247
NACC1	8.0438	8.6903	8.3286	8.5545	7.7426	8.6911	5.5308	6.8846	6.4001
MBOAT1	7.4353	8.6789	7.8427	9.9783	8.7933	10.875	11.5314	8.563	9.4564
LOC400099	8.5338	8.8641	9.4711	9.5228	9.1733	9.7172	6.1029	5.91	6.2564
EPN1	9.1953	9.7495	10.2337	9.2699	8.707	9.2363	12.5977	11.9768	11.6392
DNHD1	4.0059	3.8074	6.9081	5.0858	4.3081	6.3671	4.1679	3.9068	4.0362
KRT37	6.2571	7.2469	7.1124	8.7913	8.1464	8.4672	5.1356	6.7941	7.2469
DCAF6	7.1331	7.0138	8.3925	5.4853	5.5231	5.1069	5.399	5.6422	5.6987
SEPW1	6.7259	8.5316	7.8945	9.5587	9.2891	10.5571	5.5366	5.6592	5.9769
ZGPAT	6.4199	8.8358	9.2285	9.5249	8.4706	8.9463	4.879	4.2015	4.574
AMN	7.5297	8.189	8.3119	10.0502	9.1903	10.5567	6.6891	7.5852	7.3033
LOC441208	4.9868	4.3571	5.3165	4.2778	4.9268	5.0416	5.094	7.8182	5.9696
C12orf39	8.9083	8.6662	9.7607	5.7341	6.3505	5.7681	8.3251	9.4819	9.37
SEL1L3	9.5747	8.8203	10.3839	8.6187	8.0338	9.143	7.019	7.8546	7.4393
ZNF148	8.5549	8.5631	8.7512	7.7851	7.3375	7.7905	6.5632	6.1908	5.8209
BATF2	5.2183	5.325	6.2837	7.4538	6.9816	8.6029	4.9851	4.4962	4.7525
TTTY9A	4.8872	5.4353	5.7257	6.8566	6.5032	8.2964	5.1882	4.7324	5.0451
ADRB2	4.5069	4.4582	4.4387	4.3408	4.2871	4.2032	7.3164	7.6125	7.7409
PDLIM2	10.2389	10.3402	11.0258	10.1481	9.3866	10.6988	7.2089	10.0172	9.702
RPS6KA2	6.8275	7.2775	7.6446	7.4433	7.4303	7.0174	9.2542	9.8863	9.1005
LOC440354	8.3879	8.7885	8.8647	9.6838	9.4369	9.9546	5.9066	7.9674	7.4381
TCEB3B	6.7959	6.8183	7.2657	7.5018	7.3279	7.0479	8.328	10.682	9.8904
TLR5	5.3525	5.4465	4.9842	9.2184	8.101	8.5632	5.1628	4.9375	4.6781
NDRG1	9.1627	9.6437	9.9907	9.047	8.672	8.2637	12.1827	11.8953	11.5966
C9orf89	5.8485	5.3277	5.6222	5.3533	5.7731	4.974	9.8588	9.5747	10.1981
CXCR5	8.0307	9.3143	9.0596	10.2486	10.0305	10.1624	6.1925	5.9285	6.0701
CHRNA10	7.1486	6.9613	8.0705	6.9991	6.9173	7.7549	9.3507	10.9581	10.8316
APRT	7.1866	6.6897	8.3446	5.9435	6.1698	5.7731	8.5871	10.3204	8.7429
C1orf198	6.58	6.9743	7.0969	7.3962	6.7132	7.648	3.6623	6.3044	6.0188
NAA20	7.082	7.5412	7.6879	8.2002	7.3166	8.5306	4.5308	7.0544	6.6118
TUBA1B	7.2875	7.8494	8.0498	8.6127	7.8223	8.953	5.1015	7.8223	6.8491
GPC2	8.0344	9.1328	8.8794	9.9874	9.765	9.4549	6.9602	7.6731	7.1716
IL24	7.2876	7.8673	7.8673	9.0843	8.9496	8.8657	6.7418	6.5392	6.2373
ZFP161	8.6834	9.9926	10.1751	11.4055	10.091	12.0059	12.3547	9.2852	10.4125
UBE2J1	5.6789	5.4595	5.5204	5.7301	6.243	5.657	9.0564	5.7301	5.7492
PCDHA9	11.4457	11.4665	11.9248	11.3966	11.0506	11.3612	8.2556	7.8823	7.6149
ZNF12	8.3514	8.2463	8.2134	8.1683	8.0487	8.773	6.9696	5.7332	5.9668
RHBDL3	9.8985	10.6067	10.1261	11.3223	11.1293	11.2189	8.6718	7.7857	8.2349
GAS7	13.1026	13.1948	13.0485	13.5684	13.5154	13.0665	10.0842	8.9012	9.0078
OR7A17	12.536	12.7506	12.5704	13.1393	12.8685	12.8861	9.5142	8.7752	8.7079
DMC1	7.7886	7.6901	7.5572	7.7932	7.7335	9.2041	5.7258	5.4473	4.8143
FAM55C	8.5655	10.3115	10.8762	8.3246	8.1599	6.8585	10.4376	9.864	9.0576
PCSK7	7	7.3898	7.2105	8.6126	7.0633	9.6917	11.699	8.6126	9.9248
LOC388152	9.2155	8.9463	10.5966	6.6495	6.2505	6.2106	5.5071	5.6681	5.2986
IL4R	11.1064	10.6204	10.5187	9.6508	8.823	10.0535	5.7933	5.9606	6.1279
MRPS5	7.3024	6.9313	9.6049	8.6075	7.5672	9.6792	5.5768	5.6756	5.4386
RAD9B	8.5527	8.5432	8.9263	9.3395	9.4818	10.3959	6.247	5.9855	5.5598
MFAP5	7.8902	7.8037	7.7293	7.4392	7.4721	7.4188	11.2493	10.2527	10.5272
LOC90834	9.6626	9.5492	9.6119	10.2325	9.6911	11.4368	4.9941	5.0616	5.4346
MFF	6.2557	6.8539	6.7374	8.9652	7.6865	8.4388	5.7367	5.8188	5.6197
LOC283079	7.4169	7.9376	8.0871	9.3458	9.0447	9.8707	6.5696	7.2386	6.599
C10orf58	9.2892	9.4848	9.8623	9.1879	8.7832	9.6093	6.0792	7.4582	6.6314
PPP1R9B	9.2117	9.8246	11.2538	5.7591	6.0766	5.7637	6.0435	5.8897	6.0454
ZNF37A	7.1386	7.8552	8.6978	8.6367	8.2006	9.5344	8.6978	11.0967	10.4609
GPC3	6.6648	7.2637	6.6521	8.8791	7.9212	8.6209	5.2183	5.2629	5.2596
WNT1	8.9865	8.4431	9.6439	7.6482	7.8738	7.0733	7.0321	6.6358	6.636
GLIS1	9.7437	9.7139	10.1209	10.4336	10.3058	10.4916	7.5208	7.3542	7.6117
TCN2	11.0963	11.1759	11.2148	12.9089	11.76	12.8431	9.4221	11.0442	10.7236
KRTAP9-8	10.3581	10.5918	10.878	10.8712	10.707	11.1446	7.1532	8.7834	8.4296
ING2	7.8761	7.9858	8.7093	6.9479	7.1975	6.6972	9.9669	8.8294	9.0731
CXCR3	10.2781	10.6294	10.7021	11.1435	10.525	11.0202	7.8136	8.2809	7.3294
C5orf48	7.594	7.8716	7.7462	8.699	8.6341	8.724	10.3293	10.5175	10.0082
FGF3	13.0832	13.255	13.0446	13.3412	13.327	13.1734	9.8485	9.1503	9.1694
PRKD3	10.9172	10.1066	9.2187	7.5848	7.5727	7.3049	6.7989	6.5235	6.6907
RPS23	10.3853	11.5001	12.37	9.722	9.3103	8.6161	11.5352	11.1128	10.3715
PIAS2	8.7046	10.3259	11.1217	8.8717	8.2405	8.0385	10.6181	9.1969	8.7556
ACSBG1	8.1685	8.5	8.652	8.949	7.861	9.5284	11.2752	9.6038	10.1355
SNHG10	4.8864	5.5277	5.9185	6.4167	5.329	6.7086	7.7344	10.1758	10.6972
TPST1	9.127	9.3178	9.3402	9.6586	9.4882	9.7108	7.4362	7.1653	7.4336
RNASEH2A	11.6633	11.3724	10.7807	9.5262	9.0852	9.6481	7.1737	6.6614	6.7915
ARAF	9.5327	9.6856	10.5132	9.7251	9.6204	9.9848	7.7851	7.3038	7.523
HERPUD2	9.1809	9.1899	9.4669	9.8232	9.2706	10.6223	6.4386	8.6809	8.2607
PLIN1	8.8577	9.0619	9.5905	9.0646	8.637	9.744	6.3011	5.8209	6.0589
PRPS1	6.9722	7.3915	7.3049	7.3694	6.9722	7.9488	4.8187	4.7742	4.9936
CYTSB	7.9967	8.3946	8.3989	8.0425	7.4566	8.3999	4.5772	6.586	5.9702
ELMOD2	6.2931	6.2642	6.1861	5.6954	5.9904	5.4171	9.8953	9.1338	8.7868
PARP11	9.4943	10.0851	10.0394	10.6191	10.4141	10.1073	7.0557	8.7233	8.7973
LOC100130894	7.3112	8.8596	9.322	8.0074	7.3576	7.2255	9.5231	5.655	7.6447
